cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
0.5,-3.0,0.0075,0.0104,0.0142,0.02,0.0276,0.0261
0.5,-2.0,0.0203,0.027,0.0376,0.0535,0.073,0.0704
0.5,-1.5,0.0405,0.054,0.0757,0.1068,0.1468,0.1443
0.5,-1.25,0.062,0.0829,0.1167,0.1655,0.2269,0.2269
0.5,-1.0,0.1026,0.1379,0.1938,0.2765,0.378,0.3846
0.5,-0.75,0.1852,0.2493,0.3525,0.5029,0.6963,0.7149
0.5,-0.5,0.367,0.4992,0.709,1.0283,1.4292,1.4367
0.5,-0.25,0.7882,1.0846,1.5703,2.3027,3.2395,2.6744
0.5,-0.0,1.7043,2.3551,3.4219,5.0723,7.218,3.9565
0.5,0.25,2.4526,3.3053,4.7031,6.7465,9.314,10.582
0.5,0.5,0.7122,0.9559,1.3555,1.939,2.6979,3.1238
0.5,0.75,0.2802,0.3755,0.5293,0.7593,1.0482,1.181
0.5,1.0,0.138,0.1845,0.2607,0.372,0.515,0.561
0.5,1.25,0.0778,0.1045,0.147,0.2097,0.2903,0.3064
0.5,1.5,0.0485,0.0649,0.0913,0.1303,0.1803,0.1862
0.5,2.0,0.0227,0.0308,0.0435,0.0618,0.0852,0.085
0.5,3.0,0.0083,0.0117,0.0161,0.0225,0.0312,0.03
